,Equity,Issue price,Open,Close,Listing Gains (%ge),CMP,Current gains %ge,Chg Open to Close,% Chg Open to Close,Date,NiftyOpen,NiftyHigh,NiftyLow,NiftyClose,Volume,INR,Day
0,Anupam Rasayan,555.0,534.7,525.9,-5.24,502.6,-9.44,-8.800000000000068,-1.645782681877701,2021-03-24,14853.2,14902.65,14676.35,14690.05,747133448,72.6076,3
1,Heranba,627.0,900.0,812.25,29.55,628.0,0.16,-87.75,-9.75,2021-03-05,15139.75,15248.7,15009.2,15084.35,1008799017,73.0696,5
2,Railtel,94.0,109.0,121.4,29.15,128.6,36.81,12.400000000000006,11.37614678899083,2021-02-26,15005.0,15045.15,14604.25,14667.6,1629245878,73.902,5
3,Nureca,400.0,634.95,666.65,66.66,586.8,46.7,31.699999999999932,4.992519095991799,2021-02-25,15193.55,15281.25,15177.6,15209.0,1156997060,72.6331,4
4,Stove Kraft,385.0,498.0,445.95,15.83,449.3,16.7,-52.05000000000001,-10.451807228915664,2021-02-05,15040.75,15099.25,14938.8,14988.95,1556801120,72.9091,5
5,Home First,518.0,612.15,527.4,1.81,464.15,-10.4,-84.75,-13.844645920117618,2021-02-03,14824.25,14931.65,14650.75,14854.0,1374129689,72.9121,3
6,IRFC,26.0,25.0,24.85,-4.42,23.05,-11.35,-0.14999999999999858,-0.5999999999999943,2021-01-29,14075.65,14089.4,13704.15,13743.3,1125687575,72.8675,5
7,Antony Waste,315.0,430.0,407.25,29.29,255.15,-19.0,-22.75,-5.290697674418605,2021-01-01,14109.05,14166.1,14102.95,14137.55,612252114,73.067,5
8,Bectors Food,288.0,501.0,595.55,106.79,336.35,16.79,94.54999999999995,18.872255489021946,2020-12-24,13803.15,13882.8,13748.15,13862.1,756316405,73.5541,4
9,Shankar Lal Ram,45.0,46.15,35.1,-22.0,42.05,-6.56,-11.049999999999997,-23.94366197183098,2020-12-24,13803.15,13882.8,13748.15,13862.1,756316405,73.5541,4
10,Burger King,60.0,115.35,138.4,130.67,135.3,125.5,23.05000000000001,19.98266146510621,2020-12-14,13706.2,13731.05,13615.45,13693.2,799294909,73.5492,1
11,Equitas Bank,33.0,31.0,32.75,-0.76,59.6,80.61,1.75,5.64516129032258,2020-11-02,11803.05,11830.65,11675.25,11777.85,823729504,74.4555,1
12,UTI AMC,554.0,476.2,476.6,-13.97,562.15,1.47,0.4000000000000341,0.0839983200336065,2020-10-12,12047.05,12088.9,11936.9,11999.05,711357331,73.291,1
13,Mazagon Dock,145.0,216.25,173.0,19.31,206.35,42.31,-43.25,-20.0,2020-10-12,12047.05,12088.9,11936.9,11999.05,711357331,73.291,1
14,AKI India,11.05,11.0,11.55,4.52,12.0,8.6,0.5500000000000007,5.000000000000006,2020-10-12,12047.05,12088.9,11936.9,11999.05,711357331,73.291,1
15,Shubham Polyspi,40.0,41.8,21.93,-45.18,58.1,45.25,-19.869999999999997,-47.53588516746411,2020-10-12,12047.05,12088.9,11936.9,11999.05,711357331,73.291,1
16,Angel Broking,306.0,275.0,275.85,-9.85,304.75,-0.41,0.8500000000000227,0.30909090909091735,2020-10-05,11616.6,11693.3,11574.5,11625.6,699911432,73.1535,1
17,Innovative Idea,40.0,43.0,45.15,12.87,7.5,-81.25,2.1499999999999986,4.9999999999999964,2020-10-05,11616.6,11693.3,11574.5,11625.6,699911432,73.1535,1
18,Chemcon Special,340.0,731.0,584.8,72.0,406.0,19.41,-146.20000000000005,-20.000000000000007,2020-10-01,11499.65,11557.4,11484.25,11545.9,640143018,73.0322,4
19,Happiest Minds,166.0,351.0,371.0,123.49,520.55,213.58,20.0,5.698005698005698,2020-09-17,11671.25,11718.3,11629.2,11646.15,664077965,73.6297,4
20,SBI Card,755.0,658.0,683.2,-9.51,916.4,21.38,25.200000000000045,3.82978723404256,2020-03-16,9684.8,9728.1,9281.75,9316.95,2510748783,74.2202,1
21,Prince Pipes,178.0,160.0,166.6,-6.4,403.15,126.49,6.599999999999994,4.1249999999999964,2020-12-30,14086.45,14103.85,13969.8,14088.45,612680345,73.1882,3
22,CSB Bank,195.0,275.0,300.1,53.9,240.1,23.13,25.100000000000023,9.127272727272736,2020-12-04,13325.1,13415.05,13288.95,13396.5,1016516084,73.7524,5
23,Goblin India,52.0,57.9,57.9,11.35,24.5,-52.88,0.0,0.0,2020-10-16,11804.25,11867.2,11744.1,11843.35,716895894,73.3085,5
