,Equity,Issue price,Listed Date,Open,Close,Listing Gains (%ge),CMP,Current gains %ge
0,Anupam Rasayan,555.0,24th Mar,534.7,525.9,-5.24,502.6,-9.44
1,Heranba,627.0,5th Mar,900.0,812.25,29.55,628.0,0.16
2,Railtel,94.0,26th Feb,109.0,121.4,29.15,128.6,36.81
3,Nureca,400.0,25th Feb,634.95,666.65,66.66,586.8,46.7
4,Stove Kraft,385.0,5th Feb,498.0,445.95,15.83,449.3,16.7
5,Home First,518.0,3rd Feb,612.15,527.4,1.81,464.15,-10.4
6,Indigo Paints,1490.0,2nd Feb,2607.5,3118.65,109.31,,53.42
7,IRFC,26.0,29th Jan,25.0,24.85,-4.42,23.05,-11.35
8,Antony Waste,315.0,1st Jan,430.0,407.25,29.29,255.15,-19.0
9,Bectors Food,288.0,24th Dec,501.0,595.55,106.79,336.35,16.79
10,Burger King,60.0,14th Dec,115.35,138.4,130.67,135.3,125.5
11,Gland,1500.0,20th Nov,1710.0,1820.45,21.36,,59.72
12,Equitas Bank,33.0,2nd Nov,31.0,32.75,-0.76,59.6,80.61
13,UTI AMC,554.0,12th Oct,476.2,476.6,-13.97,562.15,1.47
14,Mazagon Dock,145.0,12th Oct,216.25,173.0,19.31,206.35,42.31
15,Angel Broking,306.0,5th Oct,275.0,275.85,-9.85,304.75,-0.41
16,CAMS,1230.0,1st Oct,1535.0,1401.6,13.95,,44.23
17,Chemcon Special,340.0,1st Oct,731.0,584.8,72.0,406.0,19.41
18,Route,350.0,21st Sep,708.0,651.1,86.03,,300.51
19,Happiest Minds,166.0,17th Sep,351.0,371.0,123.49,520.55,213.58
20,Rossari,425.0,23rd Jul,670.0,742.35,74.67,,139.92
21,SBI Card,755.0,16th Mar,658.0,683.2,-9.51,916.4,21.38
22,Prince Pipes,178.0,30th Dec,160.0,166.6,-6.4,403.15,126.49
23,Ujjivan Small,37.0,12th Dec,58.75,55.9,51.08,30.75,-16.89
24,CSB Bank,195.0,4th Dec,275.0,300.1,53.9,240.1,23.13
